"","Post","Average_Severity"
"1493"," how many glasses of water do you drink a daybra like a gallon  haha thats all i drink all day",0
"1494"," how many hours of sleep do you need to functionbra not much i used to go on  or  but anymore i get the recommended  hours hahaha",0
"1495"," how many hugs do you get a daybra a tonn  i dont think my bf can hug me enough sometimes",0
"1496"," how many keys are on your keychainbra four",0
"1497"," how many kids do you want to have in the futurebra im not sure actually i guess how ever many i am blessed with r r but like  would be awesome i like big families",0
"1498"," how many languages can you fluently speakbra one fluently spanish pequinta",0
"1499"," how many lies do you think you have told in your life timebra a bunch im sure white lies are the hardest to remember",0
"1500"," how many of you like twilight seriesbra i like em for what they are",0
"1501"," how many pairs of underwear do you ownbra really show your face",0
"1502"," how many people can you tell everything tobra two",0
"1503"," how many people do you know with your first namebra only two",0
"1504"," how many phone numbers do you have memorized that you dont need to look upbra like  or ",0
"1505"," how many pillows do you usebra ",0
"1506"," how many questions are in your inbox bra about  lol i havent been on for a hot second",0
"1507"," how many suitcases do you ownbra i own a couple duffle bags but no suitcases",0
"1508"," how many times a month do you go to the moviesbra i used to go a lot but now i dont go so much waiting for a really good new movie to come out",0
"1509"," how many times do u take a bath in a daybra once unless im super active",0
"1510"," how many times do you eat in a daybra on the hour every hour  haha",0
"1511"," how many times have you had the hippups today dbra none",0
"1512"," how many times were you on the phone to someone todaybra once",0
"1513"," how many true best friends do you havebra maybe ",0
"1514"," how much did you get for your teethbra like a buck or whatev",0
"1515"," how much money did you spend yesterdaybra i have no money",0
"1516"," how much money do you need right at this moment to be happybra none im happy without money  ",0
"1517"," how often do you check on your formspringbra usually during the week everyday but on the weekends im with timmy so not too often ",0
"1518"," how often do you check your voice mailbra every other wk or so",0
"1519"," how often do you download songs you hear in commercialsbra not often i dont download much at all",0
"1520"," how often do you flick people offbra never i hate that",0
"1521"," how often do you get sickbra not too often  once a year perhaps but it hits hard when i do get sick",0
"1522"," how often do you get the hiccupsbra not very often",0
"1523"," how often do you go bralessbra all the time haha  unless were going out its uhhh more comfy",0
"1524"," how often do you go to spabra never been ",0
"1525"," how often do you have days where it feels like everything goes wrongbra here lately its been a lot",0
"1526"," how often do you lose your voicebra i think thats only happened to me once and it was after a bengals game it was my first stadium game hahaha",0
"1527"," how often do you really quotgo outquotbra not often haha",0
"1528"," how often do you think about touching other peoples private partsbe honestbra ha a lot  i like my mans private parts",0
"1529"," how often do you wish you were a kid againbra always",0
"1530"," how old are youbra ",0
"1531"," how old are yu bra ",0
"1532"," how old is your inner childbra ",0
"1533"," how old were you when you learned to swimbra idk how old i was when i started doing anything dude lol",1
"1534"," how old were you when you learned to tie your shoesbra idk honestly",0
"1535"," how old were you when you went on your first flight where did you gobra never flew hopefully soon tho im not scared just havent had the opportunity ",0
"1536"," how old will you be turning on your next birthdaybra  again",0
"1537"," how should shaylaampi prank xen next shayla is telling xentury to go back to sleepbra im not good with pranks soory ",0
"1538"," how so you spend your christmas evebra with family ",0
"1539"," how well do you handle rejectionbra i dont handle it",0
"1540"," how would you handle if your partner was pressuring you into sex when your not readybra i would tell th",0
"1541"," how would you like to diebra unexpectedly and when im really old",1
"1542"," how would you talk someone out of suicidebra very carefully i would honestly like to do that as a career",0
"1543"," hows obama as a presidentbra horrible",0
"1544"," hows the weather therebra its sunny now summers ahead of us",0
"1545"," howus your mood todaybra good i suppose",0
"1546"," httpformspringmezendeskcomhome complain about fs and the limitations theyre making here  you have to make a whole new separate account to do itbra okayy",0
"1547"," httpwwwecastigcomindexphprcosbra kkkkkkkkk",0
"1548"," httpwwwformspringmethepedo ladies of formspring this is my opinion but i highly advise you ignore any questions from this person and block himbra alllrighty lady",1
"1549"," i always wonder why those damn rapist that rape lito girls dont just fucken a pay damn prostitute ampamp fuck them fuck it kills me to see lito girls dying like that bra yeah i agree its wrong",0
"1550"," i am done spamming for now i am going to get a shower and relax for a bit i will spam more tonight  yasbra spam ya maam",0
"1551"," i am done spamming for right now i am still sort of tired leave me things i will spam more later bra kkkkk thanks for all your spam in a can",0
"1552"," i am done spamming for the day leave me things thanks  have a good rest of the daybra kkk",1
"1553"," i am going to be off here for a few days cause of family and other reasons leave me stuff i will return it once again if you dont want to be spammed just tell me thanksbra kkkkk",0
"1554"," i am going to finish answering questiosn then i am off to pack my stuff to leave please leave me things thank youbra okay will do ",0
"1555"," i am going to go to bed now i still ahve alot of stuff on my mind ehhh well have a goodday  leave me thingsbra k",0
"1556"," i am going to go to bed now i still ahve alot of stuff on my mind ehhh well have a goodday  leave me thingsbra kk",0
"1557"," i am off for right now i feel sick and personally i hate being sick so leave me things to make me smileampquestions thanks babesbra kkkk hope you feel better",0
"1558"," i am off for right now leave me things  pleaseampthank youbra kkkkkk",0
"1559"," i am off for the night i have to try to get some sleep leave me things thank you bra kk",0
"1560"," i am off for the night i hope you have agreat one i will talk to you people tomorrow morning before my family shows up bra kkkk ",0
"1561"," i am off for the night i will spam more tomorrow but its been a weird day and i am tired thanks bra night",0
"1562"," i am off here for a bit gotta hang out w xentury  leave me things thank youbra kkk have fun",0
"1563"," i am sooo scrapbooking the past weekendbra really haha",0
"1564"," i am using httpmobileformspringme to ask yall in just one click  do you guys have twitter follow me plss  httptwittercomcoquettishdiva bra no twitter and kudos for mobile formspring ",0
"1565"," i aqree completely aboutt hello kitty bra thank you nice to know im not alone  haha",0
"1566"," i can be your sex sex toy i i can be your sex sex toy  i can be your mallibu barbie  i can play play for you baby when you get lonely  i said i can be your hannah montana i can make you move in ways you cant imaginebra hahaha",1
"1567"," i cant find you on facebook i was lookin for you amp a tosha good came out oobra hmmm weird ill try and find you i suppose",0
"1568"," i cant stop watching carrie underwood clips im listening to cowboy casanova rite now  i am soooo excited omgbra im super stoked too chiky",0
"1569"," i dreamt that those hugerobots from the car ads were out to kill me  i escaped from a palace in a revolution with an emo king amp queen and khia was there too lmao so i ran away amp got to my old area and my fam were having dinnerbra haha",0
"1570"," i hate it when  bra people talk about something you know they have no clue about",0
"1571"," i have questions in my inbox yesterdaybut now only i didnt answer any questions from yesterdaywhat happened to remaining questionsdid this happen to you  bra ohh no they must have disappeared  idk",0
"1572"," i have all my questions do you guys have thembra huh",0
"1573"," i hope all of you have a good day i need to go clean house my stepdad is coming here from arkansas with his fiance my mom and him divorced  yrs back and they are going to stay a few days so to everyone  i hope you have a great day and i will questbra okayyy",0
"1574"," i just got called a bitch lmao is there something you hate being calledbra i dont much like bitch either",0
"1575"," i just have to say  i do not believe the earth will actually end it is a quote from one of my favorite  thoughtprovoking movies named donnie darko its not a  movie  either youd have to see itbra ohhh okay ill have to check it out then",0
"1576"," i like learning french  how about you bra i like learning any language thats not familiar to me already ive got a little thai  spanish  and now filipino down slowly i like to learn the basics to get me by hello and how are you  thanks  please  your welcome  its fun",0
"1577"," i look in my back seat everytime i start to get in my car at night do you think this is a good habitbra yes i do that too haha",0
"1578"," i love you  you are gorgousbra thank you",0
"1579"," i love youbra i love you tooo ",0
"1580"," i love youbra love you too april hahaha",0
"1581"," i nearly ran over a prostitute once with my cartrue story whats the craziest thing youve nearly hitbra craziest i havent only a raccoon",0
"1582"," i never thought i couldbra find the perfect guy for me ",0
"1583"," i never thought i would be friends with bra you ",0
"1584"," i think xentury is thinking of a prank to pull on me  what shall i dobra pull one first",0
"1585"," i thought about how my mother fed me with a tiny spoon and fork  so i wonder what chinese mothers use toothpicksbra hahhahaha",0
"1586"," i totally asked a guy to promguess what he saidbra yes and then didnt show up haha",0
"1587"," i wanna play spin the bottle lol have you played it when was the last time mine was when i was  bra no i havent actually and im  lol",0
"1588"," i want  to be my sisterbra april",0
"1589"," i want my mom to bra come over and cook me dinner shes an amazing cook ",0
"1590"," i was looking for my questions on your page and i was like browsing forever haha you really have a lot of spammers xdbra yeah i know hahaha they just pop up out of nowhere  p",0
"1591"," i was really surprised when you asked me quotmustaquot haha well musta is a shortcut term for quotkamustaquot quotkamustaquot is kinda the formal term  its really fun studying different languages ayt  besides tagalog  what other languages you want to learnbra yes it is lots of fun  i wouldnt mind learning latin its a dead language of course but apparently there are a lot of good things you can get out of latin and a bunch of things are based on it",0
"1592"," i was watching a documentary on a place called lagos last night and it seemed like even though the people there lived in shacks and slums they were happyer than the people who live in modern developed countrys and they all get alongr why is thatbra because theyre priorities in life are to live and be happy with those around them not what they have and their neighbor may have more than themtheres a lot more to life than material plus they dont know any different to them that is life",0
"1593"," i will be gone for a couple of days  im moving tomorrow  the internet is going to be hooked this weekend so  i shall return in a few days  if you want to be taken off the list  please send a message in my inbox have a good weekend  bra okayyyyyy",0
"1594"," ill give you a scenario what if your friend dated someone who is in a relationship  or had a relationship with someone who is in a relationship what will you dobra its not my business  if it were up to me  they shouldnt do that i believe its called being a homewrecker but its not my business to poke around in i would voice my opinion if asked but thats all ",1
"1595"," ice cream  pie  or cakebra ice cream ",0
"1596"," idealist or realistbra idealist ",0
"1597"," if a parsley farmer is sued  do they garnish his wagesbra okayyyy",0
"1598"," if a picture is worth a thousand words  whats a smile worthbra a million ",0
"1599"," if abandoned alone in the wilderness would you survivebra most definantly ",0
"1600"," if an orange is orange and called an orange  why is a banana yellow and not called a  yellowbra cause its called a banana  i love bananas",0
"1601"," if any of you want me to quit spamming me please let me know i am not here to bother any of you k  thanks bra  your fine",0
"1602"," if drugs had no bad effect on your healthwould you do thembra sugary and fast foods have a bad effect on your health  you still eat them dont you",0
"1603"," if everyone found out no religion was real  what do you think people would dobra loose their mind its something to focus on for the ones that cant except theres may be nothing for life after death",0
"1604"," if everyone got what they wished for do you think the earth would be a better or worse placebra no havent you seen bruce almighty nobody knows what they really want",0
"1605"," if given the chance would you like to come back as a ghostbra ehh no i dont think so i guess i would rather go up and see all the others that have already passed on and catch up with them  i look forward to that eventually ",0
"1606"," if heat rises  shouldnt hell be coldbra nope dont mock good sir",0
"1607"," if i could  then i wouldbra be invisible and punch mean people in the back of the head",0
"1608"," if i could fly  i wouldve gone to bra the winter olympics in vancouver supposed to be gorgeous ",0
"1609"," if i had i a lot of  i would probably bra help a lot of people in need",0
"1610"," if i looked on the bed next to you  what would i findbra my boyfriend",0
"1611"," if i spam you will you spam me  ubra of course ",0
"1612"," if i told you would u let mebra prolly not but only because idk you and i have a bf so hes the only one i like to touch or smell my feet sorry yo lol",0
"1613"," if i wrote you a love note and made you smile with every word i wrote what would you dobra smile hahah and say thank you ",0
"1614"," if jimmy cracks corn and no one cares  why is there a stupid song about himbra idk cause it has a great beat jim cracks corn and i dont care  jimmy cracks corn and i dont care hahaha",0
"1615"," if love is blind  why is lingerie so popularbra i dont get t",0
"1616"," if my questions bother you please let me know cause i am sick of quotidkquot answers seriously i am like badlybra i dont hardly give idk answers to your questions much so i dont believe your referring to me but i feel like you dont read my answers anyway sooo idc if you spam me so much",0
"1617"," if olive oil comes from olives  where does baby oil come frombra dunno yogood question though",0
"1618"," if one song were to describe your life  what song would it bebra its only lifeby kate voelege",0
"1619"," if rabbits feet are so lucky  then what happened to the rabbitbra ha yeah i know right",0
"1620"," if someone offered you  each for a pair of your used underwear  would you give it to thembra ummm well itd prolly be for some weird fetish smelling creep so no just cause its weird",0
"1621"," if someones underwear was showing  would you tell thembra yes already haha",0
"1622"," if the whole world were listening  what would you saybra love one another kindness is the key to happiness ",0
"1623"," if there was a hour extra everyday what would you do in that timebra dance the robot ",0
"1624"," if there was an amendment that you could flawlessly enforce  which would it bewhybra viii excessive bail  cruel punishment because everyone that goes through the law one way or another is wrongly punished whether it be the right is hit with the worst or the bad is easily let offits disgusting our government it needs to be fixed and enforced",0
"1625"," if u got out of a relationship  months ago can you still say you just got out off a relationshipbra if your not over it yetyes",0
"1626"," if you bumped your car into another car  but nobody saw you do it  would you leave your name and addressbra nope just cause i wouldnt do that im an awesome driver haha",0
"1627"," if you can be in a fairytale what story would you choose to be inwhybra pocahontas  im the one that doesnt do whats in the book and travels outside of the comforts to explore and see the new land a leader and wandererfaith in finding your own way",0
"1628"," if you can change something about the worlds history what would it bebra to find out if hitler was really what the jews have made him out to be or if things were just blown way out of proportion and history just wrote itself like thatidk to be honest what is true anymore i mean pluto can teven make up its mind if its a planet or a moon how the heck are we supposed to know whats real or whats just wrote in the books for us to be made to believe happened",1
"1629"," if you could  would you kiss the last person you texted is this person just a friend or something more do you like it that waybra no",0
"1630"," if you could ask god any one question  what would it bebra why",0
"1631"," if you could attend any concert  what would it bebra muse i want to see them live real bad",0
"1632"," if you could be a bird  what would you choose to bebra eagle",0
"1633"," if you could be a plant  what would you choose to bebra uranus hahahahhahahahha i crack myself up pluto definantly  its the only one thats been a planet and moon at the same time thats soo me ",0
"1634"," if you could be a superhero  which one would you bebra ehhhh prolly the yellow power rangerduh ",0
"1635"," if you could be any celebrity for a day  who would you be amp whybra hmm celebrity idk ummmm perhaps  jennifer anniston because shes always trying to do something with the earth and helping others",0
"1636"," if you could be born into history as any famous person who would it be and whybra julia roberts",0
"1637"," if you could bring one character to life from your favorite book  who would it bebra bfg",0
"1638"," if you could change one thing in the world  what would it bebra kindness through all humanity",0
"1639"," if you could change some things about cincinnati  to make it better  what would you dobra the upkeep of downtown its beautiful in what you can find in an innercity but the horrible the way it gets soooo run down by the next year or so its sad really",0
"1640"," if you could change something about yourself  what would you change and whybra im actually pretty happy about myself currently buuut if i could  i guess itd be to be a little taller so i could be a model  haha",0
"1641"," if you could change your name to anything you want  what would you call yourselfbra hmm this ones a stumperr i guess i would change it to  sunshine i like that haha",0
"1642"," if you could choose to live on a different planet  which one would you choosebra to livepluto still itd be like living in alaska haha",0
"1643"," if you could commit any crime and get away with it  what would you dobra bomb the white house",0
"1644"," if you could have anyone locked in a room so that you could torment them for a day  whom would you choose  and how would you torment thembra torment isnt much my style",0
"1645"," if you could have personally witnessed one event in history  what would you want to have seenbra i would have liked to have seen the solar eclipse that only happens every like  yearsor whatever it just happened this year but i wish i would of gotten to see it in person",0
"1646"," if you could hear what someone is thinking for a day  who would you choosebra hmmmgod",0
"1647"," if you could learn any magic trick which would you like to learnbra hmm how to cut people in half hahahha",0
"1648"," if you could lose one emotion  which would you like to losebra love its the kryptonite to anything you think you can accomplish without it its the human kinds weakness to other beings always",0
"1649"," if you could punch one celebrity without any repercussions who would it bebra taylor swift",1
"1650"," if you could put somebody on a postage stamp  who would you choosebra audrey hepburn",0
"1651"," if you could torture one person with music  who would it be and what song would you playbra torture isnt realllly my thing but anything jonas brothers would do im sure haha",0
"1652"," if you could transport yourself anywhere instantly  where would you go and whybra where you are to meet you  because i think we would get along just peachy",0
"1653"," if you did come back as a ghost where would you hauntbra hmmi dont think i would haunt i would be like casper the friendly ghost  and want to make people friends and have fun all the time ",0
"1654"," if you didnt have enough money to get the bus home what would you dobra hitch hike babay haha",0
"1655"," if you dont know the words to a song  do you improvisebra oh most definantly",0
"1656"," if you dont wanna be asked anymore questions or whatever  just let me know in my inbox if your boyfriend or girlfriend cheated on you  would you take them back have you ever done this before what circumstances would have to be met for this to happenbra okayyyy no no none",0
"1657"," if you eat chicken nuggets  what do you usually dip them inbra i dont  but when i was little  sweet and sour sauce from mickey ds  hahahha",0
"1658"," if you found a suitcase full of     what would you dobra depends on if i were in the country and who i was with but id say figure if it had anyone it belonged to and if not spend it ",0
"1659"," if you found out someone was somehow pregnant by youfor men or you were somehow pregnantfor women  how would you reactbra that sucks hahaha jk",1
"1660"," if you give money to charity  which one do you usually give tobra yes i do walks all the time",0
"1661"," if you got arrested for murder  whom would you call with your telephone call from prison and whybra timothy because he would prolly be following behind the cop car waiting in the waiting room for me already",0
"1662"," if you had a billion dollars  what would you do with itbra share it  help my parents out my dad works like a dog and i feel like he tries hardest and barely gets anywhereand my sister and brothers",0
"1663"," if you had a ghost what would you want it to dobra play tricks on people hahaha",0
"1664"," if you had an accident and you had to be at home to recover for a long time  what would you do to relieve the boredombra i love sudokus  read  paint  i think i would be just fine recovering ",0
"1665"," if you had one day to live  what would you spend that day doingbra dancing around  singing  seeing everything that i wanted and giving as much to everyone and spreading as much happiness around to anyone and all with as much as i could i would give everything away and do sweet nothings for random people to make their day a little better ",0
"1666"," if you had the choice to see the future  would youbra never",0
"1667"," if you had the chose to be a demon  a vampire  or a elf which would you bebra vampire ",0
"1668"," if you had the opportunity to be in a movie with any actoractress who would it bebra jennifer anistonvince vaughan",0
"1669"," if you had to challenge someone to a duel of some kind  what your weapon of choice bebra a flame torch",0
"1670"," if you had to choose between a millions bucks and being able to fly  which would you choosebra being able to fly  but it would have to be all the time hahahha",0
"1671"," if you had to choose between a millions bucks and being able to fly  which would you choosebra fly",0
"1672"," if you had to remove a part of your body bec it has cancer cells what part of your body would you choose whybra if i had to choose one ear because i wouldnt have to loose all my hearing and noone would see the defect of losing a part of my body i would cover it with my hair",0
"1673"," if you joined the circus  what act would you most want to performbra the high dive",0
"1674"," if you knew someone was going to die would you tell thembra no",0
"1675"," if you ran the worldwhat would it be likebra a different place utopia",0
"1676"," if you saw a robbery  would you report itbra yeaaah",0
"1677"," if you saw a serious crime take place and if you told you could possibly be killed  would you tellbra yes ",0
"1678"," if you saw someone in public with toilet paper stuck to their shoe  would you tell thembra yeah i dont understand why people dont tell others about that kind of stuff it drives me crazy everyone would want someone to tell them if it were happening to them",0
"1679"," if you saw your zipper was down and people had noticed  what would you dobra laughhh loud and zip it of course  hahaha",0
"1680"," if you wanted to visit any planet in the universe wich one would you pickwould you even live therebra well any planet in the universe would involve planets that arent named to me yettherefore yes i would  love to go to a planet weve never heard of haaha yes i would live there",0
"1681"," if you were a candy  what candy would you bebra skittle ",0
"1682"," if you were a monster  what monster would you bebra a nice monster i would wanna be the closet monster that hides in the closet but really im just nice and want a little kid friend to play with ",0
"1683"," if you were a toy  what toy would you bebra a loud shakin dancing singin toy thats really colorful and makes little ones learn lots of stuff ",0
"1684"," if you were a tree  what tree would you bebra willow come lay under me children  over a lake or something thatd be rad sweet ",0
"1685"," if you were abducted by aliens  would you tell anybody why or why notbra yes cause it would totally be awwesome as long as they didnt do experiments and stuff on me hahaha",0
"1686"," if you were an animal what would you bebra eagle",0
"1687"," if you were given   would you spend it  or save itbra even if you save it  your always going to eventually spend it so to make good out of it   id spend it right away ",0
"1688"," if you were given a chance to go to the moon  would you go why or why notbra yes because i want to go to the moon i want to know if its made of cheese ",0
"1689"," if you were given the chance to take care of a monkey for a weekend  would youbra yeah except id be scare itd eat my face off",0
"1690"," if you were on fear factor would you rather eat cow intestines or  dozen hissing roachesbra i love fear factor btwand i would rather do the cow intestine",0
"1691"," if you were stranded in the woods  would you want with you a spoon  a straw  or a spatulabra spoon",0
"1692"," if you were to be a bird  what would it bebra an eagle definantly",0
"1693"," if you were to be reborn who would you want to be born asbra me again is that allowed haha",0
"1694"," if you woke up in jail  what would your crime be bra dui",0
"1695"," if youre in college or graduated from college  what iswas your majorbra nursing ",0
"1696"," if your eyes reflected everything you have ever don  would you look people in the eyesbra yes",0
"1697"," ill unfollow you if you wish just tell me thank you dbra nahh i hadnt been on in a while your good",0
"1698"," ill unfollow you just let my dumb ass know i dont need your bullshit  thanks ampamp  enjoy the rest of your day peacebra hahhah",1
"1699"," im  ubra u can scroll my page thanks",0
"1700"," im about to spam yall so if you dont want me too tell me now sukkahs lol  thanksbra mmkayyy",1
"1701"," im going to spam anonymously k you downbra ohhh well i didnt know you were doing that  you know since the questions come backwards to youhahhaa sorry about all the show your face comments hahha",0
"1702"," im gonna take pole dancing classes would that make me sluttybra nahhh",0
"1703"," im in  bitch your city lolbra cincinnati",0
"1704"," in  a pig in france was executed by public hanging for the murder of a child how did the pig kill the childbra ate it",0
"1705"," in making decisions  you always end up following what your  says heart or brainbra heart",0
"1706"," in scale from   how afraid of dark are youbra ",0
"1707"," in the beginning of time how do you think we learned how to communicatebra ooooggggahhh booogahhhh",0
"1708"," in what country other than your own would you like to livebra i honestly cant say until i go and see them",0
"1709"," in your eyes what drives people to use drugsbra gotta take for something else they dont have or want",0
"1710"," in your opinion  is being argumentative a positive trait or a flawbra positive ",0
"1711"," in your opinion  what is the best thing about being a nursebra im not a nurse yet but i would say the neverending need to keep helping people its more than the average person could do r maybe this way  i can make a difference if not in the world  in someones life ",0
"1712"," is april really your sister related by bloodbra yes she is by blood always has  always will be ",0
"1713"," is english your primary languagebra si hahah yes",0
"1714"," is french kissing in france just called kissingbra id like to knowif ya find out let me know",0
"1715"," is it better to get too much or too little sleepbra its better for me to get too little i can get more done haha but its healthier to sleep more",0
"1716"," is it cool to be dumb these days if so i dont like the trendbra no i hate dumb people",1
"1717"," is it wrong i am getting my daughter to paint xens nails while he is asleepbra nahhhh its cute",0
"1718"," is life more meaningful if you live for someone so  or living a life to die for a cause for the better of humanity explainbra i believe both are good  i had an awesome elaborate answer to this but formspring didnt make it show up so that is all",0
"1719"," is love necessary in lifebra not at all",0
"1720"," is love really blind why or why notbra yes because you think with your heart not your brain  and thats the most dangerous thing you can do its not using your brain at all sometimes i wish i had a pair of im in love see past the bullcrap glasses to put on to see a little clearer with days are a little dreary",0
"1721"," is obama the president the we all ever wished forbra no not at alli dont people thought when they went to vote this past year",0
"1722"," is quizzes are quizzical what are testsbra te",0
"1723"," is someone on your mind right nowbra not really",0
"1724"," is there a person that you ever felt that you actually hatedbra not really traits of people that i hate most definantly",0
"1725"," is there anyone who was in your life that it hurts you to think aboutbra nahhh",0
"1726"," is there anything in your house that glows in the darkbra hmmi dont think so",0
"1727"," is there anything that can make you sick just by smelling itbra vomit",0
"1728"," is there anything weird that you dobra i like to be nakeed",0
"1729"," is there one person that can always make you smilebra yes my sis usually",0
"1730"," is there such thing in life as a selfless sacraficebra yes people just dont know what it is",0
"1731"," is tosha your real namebra yup sure is ",0
"1732"," is using a inhaler a sign of weaknessbra nahhhh you cant help your lungs are only as strong as god made them",0
"1733"," is you beautiful d httpwwwecastigcomindexphprvogbra kkk",0
"1734"," is your brother okay nowbra yep so far r he was diagnosed when he was  and hes  now so usually if the cancer is going to reoccur it does between   but we dont want to get cocky the oldest person with his type of cancer has only lived to be  its kind of scary but thanks for asking  hes doing great now",0
"1735"," is your hair long enough to put in a ponytailbra yes",0
"1736"," is your room messy or super neatbra in between i have a boyfriend that likes to contribute to my cleaniness with his messiness",0
"1737"," isnt that quote from alice in wonderlandbra yes it is ",0
"1738"," jabbawockeez what do you think about thembra i think they are in starwars  yes haha",0
"1739"," jupiter gets its name from wherebra idk where anything gets its name from but i would like to name something sometime ",0
"1740"," kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my slutsbra okay",1
"1741"," kfc or mcdonaldbra kfc mashed potatoe bowl ",0
"1742"," lk under yur bedbra my bed is on the floor unfortuantly i know i hate it too were moving though ",0
"1743"," lady gaga has recieved  nominations at the  mtv video music awards  she has beaten michael jacksons record of  nominations  do you think she really deserves all those nominationsbra no not at all",0
"1744"," lady gaga looks like christina aguilera true or falsebra false",0
"1745"," last event you dressed up forbra my and timothys anniversary we went to boi na braza  the brizillian steak house downtown cincinnati its was super snazzy ",0
"1746"," last gift you receivedbra violin i think for my bday from my booo",0
"1747"," last night you feltbra okay little mad cause of some relationship crap but im over it like always haha",0
"1748"," last question for right now you have the choice to save the life of the person who has hurt you the most  do you do it if you dont no one will knowbra yes i would i would love the opportunie of saving another persons life and everyone gets hurtbut is being hurt worth not saving another beings life i dont think so ill save them ",0
"1749"," last time you had butterflies in your stomachbra its been awhile",0
"1750"," last time you saw your best friendbra a week ago",0
"1751"," lets start the party on our profiles i hope i could catch up wif yew bra haha sureee",0
"1752"," lets jump off the bridge together you go first i check if it works  ill reconsiderbra haha yup thats prolly what would happen the first time i went to the falls in monroedont know if youve heard of them but its a waterfall you jump off well anyways everyone hade been there before except me and it was night of courseim a retard lol and i was the only one that would jump no second chances  haha",0
"1753"," like how many photos do you have on fbbra i used to have a ton more than i do now why arent we friends on fb yet hahaha",0
"1754"," like how many questions do you get in a daybra hmmm depends sometimes i get bombarded with questions but here lately since ive gotten on everyday its like  haha enough i suppose ",0
"1755"," list  people you know then describe each of them in  wordsbra timothy april mother chelsea s amp your loyal funny stressful partier  amp intersting",0
"1756"," live with both parents bra no i live on my own ",0
"1757"," lmfao  if you havent seen this  you totally need to  httpwwwyoutubecomwatchvtkjyzhzhokmampfeaturepopularbra okayy",0
"1758"," lol whats this with people asking you about smelling your feet and apparently  in an even stranger twist  someone already has smelled your feetbra yeahh",0
"1759"," lolbra  why are you anonymous",0
"1760"," longest relationshipbra  year and  months",0
"1761"," look inside your bagpurse name three things you seebra cough drops deodorant glasses case",0
"1762"," look to your right tell me the first thing you seebra my bedroom door",0
"1763"," love pizzar what toppings you preferbra green pepper  cheese  onion  baconcrunchy  and cheese d",0
"1764"," me and xentury discussed this if you just got out of a house with a killer and you turn around to see a kid still stuck in the house  do you go backbra hells yeah you go back",0
"1765"," mmmbra mmm what",0
"1766"," moooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooobra moooo back",0
"1767"," most hated moviesbra about schmidt",0
"1768"," most of you said the oil spill why do you think they are talking about it so much is it cause they are not doing much about itbra huh",0
"1769"," most of you said your parents kept them dont you find that creepy in a waybra nahh",0
"1770"," mountains or beachbra beach",0
"1771"," movies or musicbra repeat",0
"1772"," musicals  cheesy or entertainingbra entertainingly cheesy ",0
"1773"," mustayou said you were sick last week you okay nowbra mabuti  out of bed at least  i had no energy forever haha just the bad case of a head cold i guess thanks for asking ",0
"1774"," my computer does that too quotinvalid requestquot haha thanks for all the questions bra  computers are dumb sometimes and yup you too i had like  because of you  well and cause i didnt get on all weekendhaha",0
"1775"," my dick throbbs for ur attention call me bra wow good one",0
"1776"," my life can only be perfect if bra everyone would learn true kindness",0
"1777"," my sis is nakedbra okay my page is not for you to be anonymous on ",0
"1778"," name  of your favorite thingsbra timothyr sherbertr dancingr my familyr making arts stuffr being outsider writingr moviesr rollerbladingr ampampr formspring ",0
"1779"," name  cheese products you likebra cottage cheese colby cheese string cheese",0
"1780"," name  drinks you regularly drinkbra ho snapple raspberry white tea ojhomestyle with all the juicey bits",0
"1781"," name  thoughts at this exact momentbra i need to pee but im too lazy to get up r i want some more mac and cheeser i really need to get off fs haha",0
"1782"," name a bird with a long neckbra ostratrich",0
"1783"," name a movie or movies you can watch over and overbra all disney movies always and along came polly and mr deeds hilarious",0
"1784"," name a movie or movies you can watch over and overbra juno  sweet november  mr deeds ",0
"1785"," name a song you know all the lyrics tobra ummmm you outta know ",0
"1786"," name everyone that made you smile this weekbra hmmi had been sick all wk so ive only been around timothy and well i texted chels so i guess just them two oh and you  your questions make me smile sometimes hahaha",0
"1787"," name five things that you wished you hadbra a nursing degree alreadyr a lott of land to live off ofr some money i could just give away to those who work their entire life and can never get aheadr amp a dog bullmastiff purebreed i love them",0
"1788"," name one household chore you would never want to do againbra i dont mind household chores actually but i guess id say dusting i dont enjoy that  ha",0
"1789"," name something thats better when its in your handsbra food  hahaha",0
"1790"," name something you bought on your last trip to the storebra orange juice",0
"1791"," name the clothing store you shop at the mostbra hmmm i havent been shopping in forever but i like forever ",0
"1792"," name the most terrifying moment of your life so farbra when my little brother was diagnosed with cancer",0
"1793"," name your  favorite colors and whybra purple and greenr always has been my favorite since i was a kid and green just makes me happy and looks good on me haha",0
"1794"," name your  closest friends which one is your very best friendbra april my sisterr timothy  my boyfriendr dad r r my very best would probably ber april she knows me best always and how to handle me",0
"1795"," new york or parisbra never been to either so idk yet ",0
"1796"," next period theres another note and this one says will you be my quotgirlfriendquotbra luckily im not in highschool anymore no more next periods for me haha",0
"1797"," nike or adidasbra adidas",0
"1798"," nsync or backstreet boysbra backstreets back ole right hahaha",0
