"","Post_Ques","Post_Ans","Average_Severity"
"4245","fagg","hahahahaha you the fagg buddy lol",1
"4246","","fagg",0
"4247","fave komedian","huh lol",0
"4248","favo color ","my favs is purple lol",0
"4249","favorite type of music","my favs now is techno lol",0
"4250","friendd request mehr thnn","huh",0
"4251","funny","hahahaha yup yup",0
"4252","garfeild or heathkliff","hmmm garfeild i guess lol",0
"4253","go away u mad corny","wat fuck you pussy",1
"4254",""," go away u mad corny",0
"4255","","fuck you pussy",0
"4256","ha  my cutie or youre sayinq my name is cutie lol","huh ur cute silly u didnt even told me ur name lol",0
"4257","ha sureee","hahaha really wat chu think",0
"4258","ha who cyberfucks these days d","shit i dont even know hahaha lol",0
"4259","haaaa iiam  huh iaposm courtney","oh fasho cutie im shady nice to meet you",0
"4260","haha  nah imapos not amp alriqhtt  whts yhur name babe","hehe yes you are my name is shady sweetie amp yours",0
"4261","haha aww how cute","yea i just two nice to a girl lol",0
"4262","haha how sad these ppl tlk shyt but dnt post their info ","i know rite they need to get a life haha but it kool i dont let it get to me",0
"4263","hahaaaapos nicee nameaposr well im not really ar formsprinq personr so umm  wannna texttr mehh","we could talk on myspace",0
"4264","has your link ben posted on anyones page b","hmmmm nope lol",0
"4265","have fun wit those questions guyslol","hahaha yup yup amp thank you for sending me questions",0
"4266","have you ever been on itellyouthatcom go there and tell something to the world d","haha huh wat that for",0
"4267","have yu eva ben hunting","nope never lol",0
"4268","have yu eva farted while havin sex","nope",0
"4269","have yu eva made a necklace","yup hehe but i lost it hehe lol",0
"4270","have yu eva mowed a lawn","yup a lot of times haha lol",0
"4271","have yu eva talked  sumone rm thee uk","haha up one person",0
"4272","hehe  and listenn to music bouttah finish packinq n a lil  wbu shady","oh nice me i was eatin n takin care of my neice",0
"4273","hehe thankss ","hehe your welcome so your into girls huh",0
"4274","hehe yup i gotta u know ","hehe yup yup i feel you",0
"4275","heheeaposr well im not r much of a formsprinqr person  sor do yuh wanna text mehh","fasho but i dont got a cell yet",0
"4276","hello ","sup lol",0
"4277","hello","hi wasup",0
"4278","hello lol","holla bontia",0
"4279","hello","well hello ",0
"4280","hello","hi",0
"4281","hello","holla",0
"4282","helloo i dnt knoer yuh but hello d r myy name is tiannahh r yuhh are","oh hello sweetie my name is shady hehe nice to meet you to",0
"4283","hellor ","hi wasup",0
"4284","hey ","holla",0
"4285","hey ","sup lol",0
"4286","hey ","wasup",0
"4287","hey cutie  r yu qot a ceeeell ","yea i doyou want it",0
"4288","hey cutiee r","thanks ma",0
"4289","hey hunz","hi sweetie",0
"4290","hey wanna talk","hellyea let talk",0
"4291","hey youtube jcorrea the dancing king let me know if you got those moves that drives the girls wild  lmao ","oh haha really that guy is two funny amp wat really i dont believe that lol",0
"4292","hey yuu","hey wasup",0
"4293","hey","hello there",0
"4294","hey","wasup lol",0
"4295","heyy   d","hello there cuteness lol",0
"4296","heyy cute stuff","wasup",0
"4297","heyy whats up cutie ","nuttin much wat good with you sweetie",0
"4298","heyy where do u stay at","in cali silly but i move to texas now",0
"4299","heyyr ","wasup",0
"4300","heyy","sup",0
"4301","heyyy papi chulo","wasup chula who ever you are",0
"4302","heyyyy ","hi cutie",0
"4303","heyyyyyyyyyy shadyyyy ","sup mamacita",0
"4304","hi d lmao ","sup wat funny lol",0
"4305","hi ","holla bontia",0
"4306","hi baby","hi cutie",0
"4307","hi handsome ","hi beautiful",0
"4308","hi lol","hello cutie",0
"4309","hi","holla",0
"4310","hiii doing good jus chillin","kool that wasup so wat is your name cutie",0
"4311","holar ","wasup",0
"4312","how are you","im doing good amp yourself",0
"4313","how did yu find out bout formspring","someone send me a invite on my email lol",0
"4314","how many myspace friends do yu have","hmmm idk i didnt check haha lol i guess like a ",0
"4315","how often do yu klean ur belly button","everyday haha lol",0
"4316","how old are u","old enough haha",0
"4317","how old are you","haha two old for you lmfao",0
"4318","how u find me  hehe","haha i dont remeber but i saw a cutie n started to follow u lol",0
"4319","httpiphotobucketcomalbumsgsexylatinachiclabebdbadcebjpg","who send me this that bomb",0
"4320","httpihatejadecomidstkdjbpnfwobzvfwovh","huh wtf is that site  but fuckit  who the fuck care hahaha lol",0
"4321","httpihatejadecomidstkdjbpnfwobzvfwovh","im not gonna check this shit out anyways",1
"4322","httpwwwdenotedcouk  r r coolies drawings on money ","huh wat wtf is that lol",0
"4323","httpwwwformspringmeayobeba","huh hmmmm maybe lol",0
"4324","httpwwwformspringmediaujabby rate  ","hmmmmm ok fasho i tell you on ur page lol",0
"4325","httpwwwformspringmeemmadilema spam the worthless whore","naw i wont",1
"4326","httpwwwformspringmekukluxklanownz    yell at this nigguh and pass the link on","wat who are you maybe i will",1
"4327","httpwwwyoutubecomusercedesandtuesday watch it  pass it on","huh wat is this i take a look tho lol",0
"4328","httpwwwyoutubecomusercedesandtuesday","huh wat that lol",0
"4329","huh","huh lmfao",0
"4330","i donapost get it o","you told me why the sad gface wat chu mean lol",0
"4331","i donapost listen to the radio  i just surf thru random channels and iaposll hear the song on tv or something","oh hahaha really damn hahaha yup i would hate that two hehe",0
"4332","i dufnt remeber my password no morehow old r u","awww really why is that do you got any other sites amp how old are you",0
"4333","i guess lol nice to meet you tho ","ehehe lol so you should add me on other sites wat do you have",0
"4334","i just sandomlyy said hi to youuu  lol","hahaha i know so how you find me lol",0
"4335","i like yuhr background","thank you  i like yours too",0
"4336","i love your background very sexy lol ","awwww thanks yup it tight huh lol",0
"4337","i mean ur cock","oh haha yea it like  to  inches long",0
"4338","i realize yall may not b able  answer sum of these but its jus  fun yalllol","hehehe fasho",0
"4339","i suck cock for my gf wanna see","hahaha wat you suck cock  so you have a gf",0
"4340","i want you to ","hehe you doso you got a email we can talk",0
"4341","i was looking for one of myy other friendsss  heaposs under swaggg ampi seen your page d lol","ohy hahahaha really lol",0
"4342","i wubbbbb you","huh you wat lol",0
"4343","iaposm from northern cali east sacramento  b exact iaposm originally from tijuana though where yaposall fam rm","oh fasho that kool dude how is sacramento is it nice anything to do out there im from southern cali like la",0
"4344","iaposm getting a new email give me a min","ok fasho haha",0
"4345","iaposm still lost o my bad ","oh hahaha really ur funny lol",0
"4346","if someone told you they had your kid  what would you say","someone has my kidd n i pay every month two see him",0
"4347","if u had to pick one thing to change about urself what would it be sweetie ","idk stop being so damn nice",0
"4348","if you could go on a road trip with any person  dead or alive  who would it be and where would you go","i would go with the fine is gurl ever hehe alive",0
"4349","if you could make one person fall in love with you who would it be","idk a really beautiful girl lol",0
"4350","ilike yur back ground d r ahah jkk ","it hella fresh huh lol",0
"4351","im a guy haha fag","haha wat are you talkin bout your the fag bitch",1
"4352","im the type of qirl that can be so hurt but can still look at you ampamp smilee  the type of qirl who is willinq to briqhten your day even if icant briqhten my ownu","awwwww that really sweet of you i like that in a girl hehe lol",0
"4353","is it a sweet dream or a beautiful nightmare","a sweet dream amp a beautiful nightmare that would be hot hehe",0
"4354","is there any song you wish would disappear off the face of the earth","haha idk the ones they play on the radio over amp over i hate it",0
"4355","is there sum one yu wished yu neva fukkd","hmmm yes",0
"4356","kan yu braid hair","haha naw i cant lol",0
"4357","kan yu list thee  deadly sins","hmmm nope haha can you lol",0
"4358","kan yu remember thee worst kiss yu eva had","hmmm nope lol",0
"4359","kay i did","fasho",0
"4360","kissss kissss ","hahahaa haha kissss kissss  i guess lol",0
"4361","koo koo imm from the   lol","oh fasho damn sorry i took a long as time to answer haha lol",0
"4362","lemme jackk u off babyy","damn do you want really haha",1
"4363","lilo or stitch","stitch he the cool kat lol",0
"4364","lmaoo yu funny as a mf aha","hahaha i am kool lol",0
"4365","lol  idk you tell me ","huh tell u wat lol",0
"4366","lol  oh thanks pa  and my name is ana call me nena  or mami naw jk hahaha","haha ur just to cute ma so wat chu doing",0
"4367","lol did u look handsome day","awww thank you amp yes i did but i still feel like shit",0
"4368","lol it can be a guy vv lol","oh really",0
"4369","lol nada justt at homee kickinn itt bein lazyyy lolz ampamp youu","oh fasho that kool",0
"4370","lol nothinqq rlly  watchinq disney channel p you ","oh hehe wat that kool me just posted a lil bored rite now im gonna take a cold shower lol",0
"4371","lol o ok coolz dude","fasho",0
"4372","lol okay  well whats your real name hun ","lol i just told u lol",0
"4373","lol thats funny","hahaha i know it was amp i got kickout becuz i was dancing amp one of tho rent a cop pulled me to the side amp he said i dont like you amp i told him fuck you so he kick me out hehe",0
"4374","lol yeahh c","haha yup yup",0
"4375","lolhow yu been","i been good amp you",0
"4376","me too i wish i didnapost have to hear tik tok by keha so dang much ","hahahahahaha you heard that a lot that why i dont used the radio anymore i go online to heard music i like",0
"4377","my songz  aha","wat song haha lol",0
"4378","myspace itaposs on my page","oh hehe but you should just add me im on my ipod",0
"4379","myspaceee ","u want to add me lol",0
"4380","nahhh  i hate mah name hehe  i wanna have somethinqq prettier ","oh why do you hate your name for sweetie",0
"4381","name   pac songs","hmmm smoke weed all day  pour out a little liquor str ballin amp i name one more i like live amp die in la lol",0
"4382","name  cherish songs","huh idk hehe",0
"4383","name  christina millian songs","hmmmmm idk none haha",0
"4384","name  jay z songs"," problem  dirt off your shoulder  girls  girls  girls",0
"4385","name  lil wayne songs","hmmm  peat  wall in  weezy ambitions",0
"4386","name  nivea songs","hahaha damn you send me  of the same questons haha lol",0
"4387","name  people yu talk  daily on fs","well you is one hehe amp twon is idk who three is idk also",0
"4388","name  pretty ricky songs","get you wet  grind on me  on the hotline",0
"4389","name  swv songs","hmmm idk sorry",0
"4390","nice background","thanks that was my crew slutjunkies lol",0
"4391","nooo  nooo  nooo jackinnnng you offf is my job ","hehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehehe yup",0
"4392","nopeee just guys ","oh fasho",0
"4393","nothhinnqq chilllinnqq how boutt youuhhh cutiee ","oh nice me just posted hella tried from work lol",0
"4394","nothing much just here and your ","oh fasho me just listen to some music amp write the sexy parts tee hee",0
"4395","nu uh  nice ta met yhu ampnd imapos angelicaa","hehehe nice to meet you too nice name",0
"4396","oh ha well talk to me thew my profile ","huh ok will do lol",0
"4397","oh that coolr so wat u doing this weekend","oh shit idk yet watever come up",0
"4398","oh well uhm it goes to yahoo when i click it","awwww sorry im gonna change that soon so add me then here wwwmyspacecomsavagelife",0
"4399","ohh okayy r i remember now  i forgott ","hehehe yea it kool so wasup with you",0
"4400","omg have you seen the pictures of u on emogasmcom lol","hahahaha that a big lie",1
"4401","omq   yuhhr backround almost blinded me hahaha","oh hahaha it did lol",0
"4402","oooh kooo where yuhh frommquot","hehe from the ",0
"4403","pants or no pants ","huh",0
"4404","playa playa haha vv u got game lol","hahaha if you say so i got game on sports",0
"4405","please cyberfuck me iaposm horny beyond imagination and i need you to make me wet whateveryoulikegmailcom","hmmmm hehe really well i just send you a email lol i said wasup sexi lol",1
"4406","porque can i know","yes you can know hehe i went to a club last nite amp i was really drunk before i got there",0
"4407","pretty the weather was so nice i loved it","awww really i know you were lookin sexy hehe",0
"4408","qq  if you could master one skill what would it be","hmmmm play pro soccer lol",0
"4409","qhetinq it in wif that nasty white qirl lmao","hahaha why you askk you somethingshe look ok",1
"4410","r u big","big like how tall or big like in buff",0
"4411","r u gay","nawww im straightamp fuck that",0
"4412","r yu a lady gaga fan","hmmm not really she alrite",0
"4413","r yu a mean drunk","nope i am very nice or funny when im drunk haha lol",0
"4414","r yu a pak rat","haha naw lol",0
"4415","rate her   formsprinqmebelindababyxo","fasho lol",1
"4416","","na",0
"4417","rate herwwwformspringmeinsanitymurders","huh fasho lol",0
"4418","rate herwwwformspringmeinsanitymurders","i did already lol",1
"4419","rate me","a ",0
"4420","really i didnt knoww haha nd yes i would ","hahaha yea it kool so i guess im gonna comment you",0
"4421","really yu must b new  fs","haha naw i havent im not really new i been haviing this for like  months haha",0
"4422","redboiii and shortyonfire are two fake formsprings be careful they will take your pics and act like you  they likes to go around stealing peoples pictures to make fake accounts","hahahaha really hmmm i donk think they are lol",0
"4423","same here i canapost stand hearing one song too much i just wanna shoot myself","hahahahahaha you heard that a lot that why i dont used the radio anymore i go online to heard music i like",0
"4424","sasha","hehe really your name is cute",0
"4425","so that you in the background picture","naw that not me hehe that just a image i did im a dude",0
"4426","so ur mexikan","yes i am are you",0
"4427","so what crackin","wat crackin then",0
"4428","so where you stay at","i stay in cali for now",0
"4429","softy ass lmaoo","huh naw but im not a mean as guy lol",1
"4430","soooo u repp da   wat part","naw i dont rep  i just been in that area amp still come back i rep ",0
"4431","spending it w the family cuz my bro going back  cali on monday i went to the lake day","oh really that nice so how was the lake",0
"4432","srry partnah im not mexikan im puerto rikan","oh haha really i digg puerto rikan chicks so sexi",0
"4433","stop creeping bri  now thanks","im not creeping her hater lol",0
"4434","sup  ","wasuuuuuuuuuppppppppppppppp",0
"4435","thaa wass jus nasty wannah see bttrr vvvvvvvv","huh show me then",0
"4436","thank yew ","your welcome",0
"4437","thank your so wat  doing","your welcome sweetie i just be busy",0
"4438","thanks fer yur pic omment","oh fasho haha",0
"4439","thanks im kristy","your welcome nice name",0
"4440","thankyouh hehe got me blushing now","your welcome sexyyyyyr so did yew love it",0
"4441","thataposs like your real name or nickname and jess ","haha my nick name silly lol",0
"4442","thats wassup  whats yur name","lol my name is shady amp your cutie",0
"4443","thats good tho ","thanks but it still hard to find a girl there dayz",0
"4444","thats not a good enough answer","oh hahaha really well it good enough for me lol",0
"4445","thatss coo x","yup yup",0
"4446","thee skyyy is whatssupp lol r actually im sittinq here boredaposa thenn a bitchhhh  ","the sky is the limit hehe awww why are yew bored",0
"4447","thick or skinny girls","it doesnt matter i like both hehe",0
"4448","thxyur lookin nice too lolr buh do i kno yu","your welcome amp thank you i meet you on myspace if you remember",0
"4449","tru tru yhu qotsz aim doeee if yhu do hmu  fyneazzchula","aim on wat aol or some thing if you mean that then naw i dont sorry i got other site tho if you want them",0
"4450","u donapost have a real name","haha hmmmm no hahahaha just kidding i do it ben lol",0
"4451","u got myspace","yea you want to add me  here add me if you want to   wwwmyspacecomsavagelife",0
"4452","u wanna have cybersex with me httptgstaticcomimagesqtbnaukxkkssjsmpermaabuybodyjewelrycomfjewelryfindexphpfiddpagedpostdcategorydflickrphotosapisearchdbellyringsflickrphotosapipagedflphapidd","huh really that look like a fake pic hahaha lol",0
"4453","u was slow but i still like u u make me cumm baby","hehe really just like that damn",0
"4454","uhmmm lol i meet a few ppl there wats yur name","oh hehe well you should know my name it shady",0
"4455","ur link is all bad send meeh one thru my inbox","all it is haha damn ok i will",0
"4456","ur supperr kuteeee","awww thank but your cute yourself",0
"4457","ur welkum","hehe fasho know one has ever told me so many question as once haha",0
"4458","virgin","are you sayin im a virgin nope i lost it when i was  lol",0
"4459","vvvvvv wow","hahahahaha yup i know lol",0
"4460","wahhtss yuhhr favorrite sportt","my fav is soccer",0
"4461","waht do yu think bout anime porn","haha idk lol",0
"4462","waht do yu think bout dudes who dress like chix and vice versa","ewwww haha freaks lol",0
"4463","waht is thee last thing yu stole","hmmm i think some tip money cuz i was broke haha lol",0
"4464","waht is yo fave beyonce video","hmmmm i think crazy amp beautiful was a hawt video lol",0
"4465","waht is yo fave kandel scent","idk really idk haha lol",0
"4466","waht kums  mind when yu see thee word beefy","hehe beefy as in like a fight or food",0
"4467","waht made yu choose thee bg yu got","huh the back round is wat chu mean rite",0
"4468","waht time do yu eat dinner","i eat dinner at   or   hehe lol",0
"4469","waht was thee last thing yu kleaned","oh haha the dishes lol",0
"4470","wahts yo fave katch phrase","huh wat chu mean by that i dont get it haha lol",0
"4471","wass upsz love my namesz alicia ","oh that very cute name",0
"4472","wassuhhppp kcutie","holla bontia",0
"4473","wassupp","wasup gorgeous",0
"4474","wassuppp","wasup",0
"4475","wat was yur question","oh haha i did send you any question sorry",0
"4476","wats your name","my name is shady n ur lol",0
"4477","watsz o food youaposll neva eat again","shit idk but i wouldnt eat anything old hahaha",0
"4478","we alreadyy friendss on myspacee r i justt tried adding you","oh haha yea i know that now",0
"4479","well r yu still on my myspace","no i log off why you wanna talk to me on there",0
"4480","well ur mightyy cute ","awww we your really cute yourself",0
"4481","what color are your eyes   duhh ","oh haha sorry i a slow as dude lol there dark brown lol",0
"4482","what day would you love to live again","hmmm when i was in vegas making that big money like   a week i miss tho dayz lol",0
"4483","what do you think are the best  qualities for someone to have","huh idk sorry im not smart",0
"4484","what kind of girls do you like","i like any kind of girl as long as cool sweet with a nice personality or at least i could get alone with her  girl that understand me im  but she got to be lookin good for me two so i could be happy for wat i got lol",0
"4485","what shade is yr eyes ","huh wat shade is ur eyes wat chu mean bout that lol",0
"4486","what should be her punishment","oh hehe idk take sumthing from her that she used is the most or love the most of her stuff that would i take from her haha",0
"4487","what was your favorite toy to play with as a child","a car",0
"4488","whataposs good","just chillen jamin to my song amp you",0
"4489","whataposs gud where u rm we got da same last name i c","im from the west ie amp you wat the not my name haha",0
"4490","whataposs youaposre dream car","hmmmm i like a lot of cars but my best n dopest car i have was a lexis  lol",0
"4491","whataposs youaposre favorite feature in a girl","hmmm got to have style of course lookin gorgeous n she will get watever she want from me lol",0
"4492","whataposs youaposre favorite sports team","hmmmm i like a lot so i name some i am a big time lakers fan lol soccer mexico im go for them in the world cup lol",0
"4493","what lol","you should add me silly my first link it my myspace",0
"4494","whats up with all this rate me shiiit ahaha","haha shit i dont even know lol",0
"4495","whats ya myspace or facebook","i got both if you want both well i dont really go on my face book well this is my myspace wwwmyspacecomsavagelife",0
"4496","whats your name","my name is shady n you lol",0
"4497","whats your twitter link","oh fasho   httptwittercomfrehswagg",0
"4498","whatsss qewddd  ","wasup",0
"4499","whatssuppp ","wasup with you hehe",0
"4500","when was thee last time yu made a shoppin list","ummm christmas cuz i went two buy everyone something nice for my family",0
"4501","whens the last time you jacked off","haha i dont do that haha",1
"4502","where u got that bakground at hun","i be havin this back round image for a long time",0
"4503","where u stay at","rite now im in san bernardinor im going back to austin txr wat bout chu sweetie",0
"4504","where ufrim","im from cali ie mamacita lol",0
"4505","which  was yurs lol yu were anonymousr","wat are you talkin about",0
"4506","who are yuu ","who am i well a nice dude hehe lol who are you lol",0
"4507","who is a famous person ur tired of seein every where","hmmm idk dont really care about that",0
"4508","who is yo favorite family guy character","my is stweie",0
"4509","who was the best teacher youaposve ever had","i dont a fovorite so idk",0
"4510","who was yo fave power puff girl","idk really like i never watch the show before haha wat bout chu",0
"4511","whose this ","haha im am shady wasup cutie lol",0
"4512","why do guys like when girls call em quotdaddyquot when you fuck ","shit idk know but i thinkin some girl do like that it just the way of life why you like that",0
"4513","why do you call yourself shady","i dont call my self shady i got that name when i was  cuz i was always shady with all my stuff  thing that i own or buy never wanted to share so my friend said you is shady even my cousins said i was a shady person so the name stuck with me so yea that my name",0
"4514","why the sad face","haha that was the sad face lol",0
"4515","why you answer everythinq w a question","huh idk cuz it a question box lol",1
"4516","woow soor ilovd my poem yu wrote mee r lolr it wass cute  r thanksss","haha fasho",0
"4517","would yu kiss sumone wit mornin breath","hmmm maybe haha well i do im gonna have some gum amp mints before i kiss",0
"4518","wow fight fight fight","hahaha yeah i know i want to but there was to many cops",0
"4519","wow fight fight fight","i know i wanted to tho fuck that rent a cop",0
"4520","wow well if yu post anything on my page a whole mess of folks will start hittin yu up real talklol","oh haha really is that rite",0
"4521","wtf stalkers that r anymous talking about me and thanks for the nice legs compliment lol","ahah i know rite",0
"4522","wududp","wasup wasup your cute",1
"4523","wuhhddup wit ur wannna be gangbangin white boy look hahaha straight up lame","haha i aint a whit boy you bitch as nigga im mexican amp proud of it so get your fact straight amp why you a bitch to tell me who you are just a loser as nigga get a life dude",1
"4524","","why you a bitch to tell me who you are just a loser as nigga get a life dude",0
"4525","wuss gud kali","wasup",0
"4526","wussssup","wasup with it",0
"4527","wut is ur perfect dream gurl lol","i dont have a perfect dream gurl i like any type of gurl as long as she is sweet  beautifulamp know how to have fun amp make me laugh",0
"4528","wuuhhdsz crackinn","wasup cutie",0
"4529","wuuuhhss crackkinn","wasuup wasuup",0
"4530","y r u so cute","idk but i guess just try to look my best lol thank you cutie",0
"4531","yeah  that really sucks i wish that you could approve of the song that gets played on tv or something lol","hahaha that so trueso wat chu like",0
"4532","yeahh ampamp youuuh","oh just chillen",0
"4533","yeahh so whatss yourr namee i neverr got it ","oh sorry my name is shady",0
"4534","yeahhx","yea",0
"4535","yeeeapos itaposs nice to be met where yhuuapos stay at","yup yup it is well i from san bernardino but i get my self around like i travel most of the times",0
"4536","yes jail food kountslol","fasho hehe damn the food it not really good there really",0
"4537","yew should add myy myspaceee","oh fasho but we are friends aready lol",0
"4538","yezir dis b tru","oh haha well i have two wait amp see if that happen lol",0
"4539","yhur hellaa cute  qhet at mehh ","awww thank you your really beautiful yourselfr amp ok let talk",0
"4540","yhur sooo cutee ","awww thank your pretty fine yourself",0
"4541","yhuuuapos uhh cutie","awwww thank you  but your cute",0
"4542","yo can we speak anonymously on zoosk instead of on here cause i think u should know something come here wwwbitlyzooskanonchatr","wat that for reals haha",0
"4543","yo juss add me lol","oh i told you i cant click yo click on my i pod",0
"4544","you should ask me thingss","huh i would if yew ask me too",0
"4545","youaposre bomb too d","awww thank you hehe lol",0
"4546","youaposre cute p","awww thanks you sexi",0
"4547","youaposre cutee","thank you",0
"4548","your cute  ","awwww thank you so cute urself hehe lol",0
"4549","your cute ","thank you i bet you two lol",0
"4550","your cute lol","thanks you cutie",0
"4551","your not to old for me","hehehe",0
"4552","your sexyy","why thank you your fine yourself",0
"4553","your top  ugliest people ive ever seen","hahaha your funny you cant even see my top friends amp i dont have a top five anyways",1
"4554","yourrr cutee","awww thank but your beautiful",0
"4555","yuh knoe what ir meannr lol","yea i do",0
"4556","yupp yupp laker bby lol","hellyea lakers are the best who is the fucken champions lol",0
"4557","ayy yoo jordan yuh da bomb diggady r this is yur favorite black person since lik th grade  who am i get it right or ill b hela mad lmao","ummmmmmmmmmmmmmmm r r give me more hints r r please ",0
"4558","ayy yoo jordan yuh da bomb","ummmmmmmm",1
"4559","did you know i love you d","awwwwwwwwww ",0
"4560","did you know i love you d","awwwwwwwwww  r did you kno dat i love more",0
"4561","duhhhh ","haha",1
"4562","duhhhh r","haha  r r i love you girl r r i heard someone ot a new boyyy r r i saw a pic of dat fool r r he is a cutie",0
"4563","wait what ","ur boo",0
"4564","wait what r","ur boo  r r ur new boyfreind ",0
"4565","are you over austin","most deff  ",0
"4566","austin got some pussy thataposs what went down","ha  yeahh think what you want",0
"4567","austins new gf is ugly as fuxkkk lolz he did a downgrade honey ur better pg","hahahahahaa  thankss  ",1
"4568","austins new girllfriend is not uglly  ampamp she is way way better than your nasty asss willll ever be ha evven youur so callled bestfriend quotkatellynquot aggress that kristens pretty tighht","i never said she was me amp her are good now  amp okay thats your opinion  amp yeahh ha cause ill believe someone i dont know ",1
"4569","bbygirlll i love youu","i love you too  fuck those bitches talkin shit",0
"4570","brittany is from mayodan abbie aint from ellisboro  eitherdumbassand the lst  aintchur girls they dont evn lik u","i was naming people who live out in that area  ha yeahh okayy i really dont care what some bitch thinks about me ",1
"4571","damn fuck what a hater say jordan abzilla loves youh these bitches either wana be you or be with you and they hatin cause they sure cant compete with you ha tell aposem jordan our only competition is the mutha fuckin mirrorrr ","hahahhaha hell yeah i love me some abzilla ",0
"4572","damnn jordan youh got some haterss step on nem bitchess aha i love youhh  fuck the bulshiit and the dirtyy slutts it came outt of","hahahaha i love you abzilla killa  and hell yeahh fuckk the bullshitt",1
"4573","did jordan have fun at julies with everybody","of course i did   i love you ashley ",0
"4574","do you and lil jacob date","yess",0
"4575","do you regret letting austin be your first","uhm no i dont",0
"4576","do you want to get back together with him","i mean i miss him  i do but i dont  cause he will just hurt me again",0
"4577","does austin have a big or small dick","why dont you ask him yourself",1
"4578","donapost you get tired of people always askin shit bout austin that really aint even there business","hahah  yeahh i do",0
"4579","excuse me  but whoever the fuck that is under me can shut their fucking mouth  you donapost tell someone to go kill themselves motherfucker you go kill your self  seeing as you have nothing better to do then lurk her formspring","hahaha  i love youuu ",1
"4580","ha all the bitches talk bout austin is just jealous  ha cuz austin got some and they canapost ha  i laugh at the  like really  they aint got anything better to talk about but austin haha dumb bitches i swear its funny  hahahahaha get a life people","thank you  i love you rhiannon ",1
"4581","haha ewie your ugly nasty ass bitch","you wishhh  ugly fuckkk",1
"4582","","ewie your ugly nasty ass bitch ",1
"4583","hahah wtf people are stupid  i know how you like babies wth bahah love you jordan","hahahha for real  i love you too whoever you are",0
"4584","have you had sex with anybody besides austin","nahhhh",0
"4585","heyy babeyy giirlll  i miss youhhh lets hang out next week ","i miss you too amp okayyyy",0
"4586","how many times did you and that douche have sex","excusee me",1
"4587","i fucking love yewww ","i fucking love you jordan  amp i miss you ",0
"4588","i love jordan alexander","i love amber mabe ",0
"4589","i love me some jordann  fuck those shittalkers ","i love me some julie amp fuck yeah",1
"4590","i thought u an austin carter made uh  really good couple ","aww well thankss  ha",0
"4591","idk why you let austin take ur v  i mean heaposs fucked a million other bitches hahahhah it aint lik it ment anything to him","ha obviously you dont know shitt  i would love for you to say that to my face  someones jealous  aww thats cute",1
"4592","iloveyou jordan party buddy ","i love you too jessica  partyy buddy ha  great times",0
"4593","im sorry to hear about your dog","thankks ",0
"4594","is ur vag tight enough that i could fit my fist in it and im a baby  i know how u like them","wtffff",1
"4595","jordan leigh baby girl no matter what happens in life you are always and forever my best friend  you mean the world to me fuck other shady bitches im always gonna be here  i love you so much jordankinpoonanners ","awww your always gonna be my bestfriend  i love you so much allykinpoonanners  without you i would of been dead by now  you helped me so much  your like my sister i love you  fuck shady tricks ",1
"4596","jordann  weaposve had our ups and downs but overalll your awsomeee","awww well thanks  ",0
"4597","letaposs jump them","ha yes",1
"4598","no one is jealous that you fucked austin cause im sorry but anyone could and its a fact that it didnt mean that much to him cause hes told everyone in stokesdale thatyou need to hop the fuck off his dick and get over him","okayy  and i havent talked to him in like forever  i dont care about him ha  your cutee",0
"4599","r u a virgin","uhm no",1
"4600","really you donapost regret it even though he cheated on you","nopee  shitt happens",0
"4601","realynoo my heart  it hurts u broke it ur so meannn   omg im so blogging about this godd     ","uhm okayy i dont know you so good luck with that",1
"4602","so i think austins a dumbass for leavin you your the most gorgeous thing i have ever seen i would do anything for you beautiful","awww  well thankk you  ",0
"4603","that stupid bitch amber that went to our school tries to act like she ran our fucking school we should put that bitchx back in her fucking place","hahaha  she deff didnt run our school  amp never will ",1
"4604","that wasnt me that answered that question so delete it lol that was amber","hahaha oh i knoww  she shut the fuck up about it",0
"4605","u and austin when camping yesterday wht wnt down","yeahh we did  amp thats my fuckingg business",0
"4606","uhmm  the commment up unnder me saays so  amp maybbbe you shoullld believe me abbout katelynnnnnnnnnnnn p","yeahh ill believe what i wantt  k thankss  cause i dont know you",0
"4607","wasnt the other night a ball","hahahah hell yeahh",0
"4608","we can sit up on nem hills or we can sit up on nem bricks shawtyy lemme get a lickkkk  when you wana splittt","wtf uhm no darlin  ",1
"4609","whatchu got planned for this summer","uhm idk yett  why",0
"4610","when is yo bday","april th",0
"4611","who is youaposre favortie person to talk to from each race black  white  asian  hispanicetc","i dont know i like to talk to my bestfriends  ",0
"4612","whoaposs your favorite person from ellisboro","i dont have one i love ashley julie  abbie  rhiannon  brittany  amp all of my girls",0
"4613","whos  of the funniest people you know name one boy n one girl","hmmmm gabby  she cracks me up",0
"4614","wow you fucked austin when he hadda girll  haha and if you seriously think that people are jealous because you did you are fuckin dumb as hell  because im pretty sure that austin would fuck anything that moves  so donapost feel to special my dearr ampthataposs","hahahahahaha  i just laugh cause you dont know nothing  if you wanna fuckk him go for it sweetheart  amp i didnt know he had one  ha",1
"4615","you know you hooked up with austin and he has a girlfriend","i didnt know he had a girl",0
"4616","your a dumb cunt and you think your big shitt  when you arent even the dirt under my feet your a piece of shit actualllyy your phsycotic too hawhat a winner go kill yourself","hahahhahaha  thanks darlin  amp no thanks",1
